frame,ke,min_j,max_j,max_vel,max_force,min_plastic_det,max_plastic_det
86,766250.812500,0.949525,1.048301,14.056062,0.000000,1.000000,1.000000
87,784168.062500,0.949792,1.049059,14.219355,0.000000,1.000000,1.000000
88,802290.937500,0.949666,1.049602,14.382633,0.000000,1.000000,1.000000
89,820619.937500,0.949458,1.049804,14.545897,0.000000,1.000000,1.000000
90,839156.937500,0.949443,1.049692,14.709176,0.000000,1.000000,1.000000
91,857900.937500,0.949570,1.049390,14.872440,0.000000,1.000000,1.000000
92,876851.812500,0.949784,1.049035,15.035676,0.000000,1.000000,1.000000
93,896008.500000,0.950057,1.048663,15.198812,0.000000,1.000000,1.000000
94,915372.375000,0.950358,1.048280,15.361976,0.000000,1.000000,1.000000
95,934943.625000,0.950253,1.048514,15.525111,0.000000,1.000000,1.000000
96,904509.250000,0.000000,1.048718,15.688275,0.000000,1.000000,1.000000
97,805196.500000,0.000000,1.047067,15.914990,0.000000,1.000000,1.000000
98,724202.187500,0.000000,1.194586,18.048952,0.000000,1.000000,1.000000
99,647183.812500,0.000000,1.124040,16.873127,0.000000,1.000000,1.000000
100,578176.437500,0.000000,1.167672,17.088240,0.000000,1.000000,1.000000
101,503952.875000,0.000000,1.423796,17.494104,0.000000,1.000000,1.000000
102,468657.125000,0.000000,1.881356,16.969044,0.000000,1.000000,1.000000
103,406856.937500,0.000000,1.646575,16.885954,0.000000,1.000000,1.000000
104,314927.781250,0.000000,1.505437,17.095894,0.000000,1.000000,1.000000
105,166812.031250,0.000000,1.765706,17.157228,0.000000,1.000000,1.000000
106,52182.714844,0.000000,1.861145,17.294466,0.000000,1.000000,1.000000
107,30944.113281,0.000000,2.025893,7.865026,0.000000,1.000000,1.000000
108,28472.349609,0.010385,1.856941,6.404443,0.000000,1.000000,1.000000
109,26093.417969,0.076032,1.920246,6.137144,0.000000,1.000000,1.000000
110,23681.742188,0.099073,2.026632,5.824807,0.000000,1.000000,1.000000
111,21193.476562,0.098319,2.003910,5.729083,0.000000,1.000000,1.000000
112,19416.753906,0.112322,1.887287,5.536050,0.000000,1.000000,1.000000
113,17684.660156,0.093759,1.832897,5.390299,0.000000,1.000000,1.000000
114,15664.510742,0.063014,1.662180,5.394813,0.000000,1.000000,1.000000
115,13796.072266,0.036348,1.678187,5.129633,0.000000,1.000000,1.000000
116,12714.779297,0.004536,1.695683,4.758625,0.000000,1.000000,1.000000
117,12391.510742,0.123178,1.705691,4.278660,0.000000,1.000000,1.000000
118,12186.831055,0.056921,1.722631,4.324797,0.000000,1.000000,1.000000
119,12406.688477,0.153905,1.661767,4.918158,0.000000,1.000000,1.000000
120,12524.963867,0.021527,1.681714,5.261748,0.000000,1.000000,1.000000
121,12705.324219,0.058947,1.763804,5.657207,0.000000,1.000000,1.000000
122,13152.147461,0.015463,1.812819,5.972129,0.000000,1.000000,1.000000
123,13314.400391,0.036702,1.965244,5.985586,0.000000,1.000000,1.000000
124,12771.786133,0.006558,2.045811,5.721784,0.000000,1.000000,1.000000
125,12318.514648,0.051857,2.185660,6.152838,0.000000,1.000000,1.000000
126,11682.102539,0.056498,2.280167,6.662430,0.000000,1.000000,1.000000
127,11945.931641,0.078377,2.686954,5.292919,0.000000,1.000000,1.000000
128,14138.026367,0.027258,2.643799,4.503316,0.000000,1.000000,1.000000
129,17904.923828,0.024583,2.317995,5.531733,0.000000,1.000000,1.000000
130,22754.789062,0.000000,1.860850,6.068786,0.000000,1.000000,1.000000
131,27075.419922,0.000000,1.840097,5.761942,0.000000,1.000000,1.000000
132,30280.431641,0.000000,1.964012,5.932157,0.000000,1.000000,1.000000
